"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,,,,,,,
345,Phoenixville 785 Starr St ,25.46,2312885.95,90843.91005,1526 ,0,,,,,,,,,
346,Wilkes-Barre S Main Plz 379 S Main St ,21.09,2306139.12,109347.5164,4013 ,0,,,,,,,,,
347,Harrisburg Uptown Plz 2943 N 7th St ,20.23,2285569.38,112979.2081,2208 ,0,,,,,,,,,
348,"West Grove Shoppes At Jenners Village 831 W Baltimore Pike, ",25.62,2282297.79,89082.66159,1503 ,0,,,,,,,,,
349,Oakmont 624 Allegheny River Blvd ,41.61,2278176.03,54750.68565,220 ,0,,,,,,,,,
350,Pittsburgh 529 Liberty Ave ,17.38,2277248.86,131026.977,230 ,0,,,,,,,,,
351,West Hazleton 12 Diana Lane ,30.9,2272875.69,73555.84757,4032 ,0,,,,,,,,,
352,Pittsburgh 826 Hazelwood Ave ,27.64,2271223.45,82171.61541,275 ,0,,,,,,,,,
353,Delmont Salem 22 Plz 6518 Rte ,29.48,2268215.2,76940.81411,6512 ,0,,,,,,,,,
354,Morgantown Clock Tower Plz ,27.85,2253103.76,80901.39174,3618 ,0,,,,,,,,,
355,Muncy 1274 E Penn St ,30.75,2242464.43,72925.67252,4104 ,0,,,,,,,,,
356,Horsham 900 Village Mall ,21.87,2236111.26,102245.5995,4644 ,0,,,,,,,,,
357,Nanticoke 13 Weis Plz ,26.25,2235764.1,85171.96571,4007 ,0,,,,,,,,,
358,Greensburg 105 Harrison Ave ,34.91,2234219.31,63999.40733,6501 ,0,,,,,,,,,
359,Mckeesport Olympia Shopping Ctr 4313 Walnut St ,31.04,2226810.38,71740.02513,294 ,0,,,,,,,,,
360,Scranton Green Ridge Plz 1600 Nay Aug Ave ,24.59,2219428.71,90257.36926,3520 ,0,,,,,,,,,
361,Berwyn 552 Lancaster Ave ,33.29,2207409.78,66308.49444,1513 ,0,,,,,,,,,
362,Malvern The Shops At Great Valley 20 Liberty Blvd ,33.96,2203245.95,64877.67815,1519 ,0,,,,,,,,,
363,New Holland New Holland Shopping Ctr 681 W Main St ,28.22,2194167.96,77752.23104,3601 ,0,,,,,,,,,
364,Carnegie 102 E Main St ,24.42,2187335.31,89571.47052,216 ,0,,,,,,,,,
365,Dickson City 1512 Scranton Carbondale H ,31,2182668.6,70408.66452,3502 ,0,,,,,,,,,
366,Cleona Cleona Sq Shopping Ctr 471 W Penn Ave ,29.5,2182286.49,73975.81322,3805 ,0,,,,,,,,,
367,Philadelphia Academy Plz 3246 Red Lion Rd ,20.97,2180953.01,104003.4816,5120 ,0,,,,,,,,,
368,Imperial Penn Lincoln Ctr 440 Penn Lincoln Dr ,29.67,2166539.95,73021.23188,9212 ,0,,,,,,,,,
369,Uniontown 140 Walnut Hill Rd ,28.47,2144463.34,75323.61574,2606 ,0,,,,,,,,,
370,Connellsville 808 Vanderbilt Rd ,30.26,2137917.9,70651.61599,2603 ,0,,,,,,,,,
371,Washington 980 Jefferson Ave ,22.15,2136989.59,96478.08533,6314 ,0,,,,,,,,,
372,Sayre 2323 N Elmira St ,30.7,2134848.97,69539.0544,801 ,0,,,,,,,,,
373,Newtown Square Edgemont Sq Shopping Ctr 4839 West Chester Pike ,34.52,2130676.14,61722.94728,2304 ,0,,,,,,,,,
374,Perkasie Perkasie Sq 511 Constitution Ave ,25.63,2119808.34,82708.08974,904 ,0,,,,,,,,,
375,Grove City 33 Pine Grove Sq Dr ,27.43,2111449.01,76975.90266,4308 ,0,,,,,,,,,
376,Hazleton Hazleton Shopping Ctr 534 W Broad St ,30.67,2109010.06,68764.59276,4031 ,0,,,,,,,,,
377,Perkasie 341 Dublin Pike ,29.71,2108315.02,70963.1444,931 ,0,,,,,,,,,
378,North Versailles Great Valley Mart 355 Lincoln Hwy ,21.12,2103734.77,99608.65388,295 ,0,,,,,,,,,
379,Chambersburg Lincoln Way Shopping Ctr 1670 Lincoln Way E ,23.13,2102392.99,90894.63856,2805 ,0,,,,,,,,,
380,Trevose Trevose Shopping Plz 560 Andrews Rd ,25.22,2102086.01,83349.96075,918 ,0,,,,,,,,,
381,Walnutport Walnutport Shopping Ctr 200C S Best Ave ,28.24,2101861.84,74428.53541,4801 ,0,,,,,,,,,
382,Altoona Chestnut Plz 220 E Chestnut Ave ,24.98,2097266.64,83957.83187,705 ,0,,,,,,,,,
383,Wyoming 1008 Wyoming Ave ,28.46,2096753.92,73673.71469,4034 ,0,,,,,,,,,
384,Scranton Price Chopper Shopping Ctr 1520 S Main Ave ,24.28,2093263.86,86213.50329,3503 ,0,,,,,,,,,
385,Indiana 575 Philadelphia St ,30.65,2087630.61,68111.92855,3202 ,0,,,,,,,,,
386,Sinking Spring Sinking Spring Plz 4880 Penn Ave ,29.99,2081455.7,69404.99166,603 ,0,,,,,,,,,
387,Sarver 240 Buffalo Plz ,30.55,2069586.92,67744.2527,1009 ,0,,,,,,,,,
388,Scranton Keyser Oak ,26.05,2064780.43,79262.20461,3518 ,0,,,,,,,,,
389,Philadelphia Freedom Sq Shopping Ctr 5113 Germantown Ave ,17.4,2061718.39,118489.5626,5198 ,0,,,,,,,,,
390,Warrington Doylestown Pt Plz 1661 Easton Rd ,30.86,2049910.94,66426.14841,930 ,0,,,,,,,,,
