"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,store_text,text2,Store Number,LicenseeOrFulfillmentCenter,test,test,test,text,text2,AvgVal_text,AvgValueOfTransaction,DollarSales,TransactionCount,,City+Address,City+Address_edit,
23,Easton Northampton Crossings 3718 Easton-Nazareth Hwy ,$38.91,"$10,700,439.51",275004.8705,4814 ,0,,"4814 Easton Northampton Crossings 3718 Easton-Nazareth Hwy 275,021 $38.91 $10,700,439.51",4814 ,"4814 Easton Northampton Crossings 3718 Easton-Nazareth Hwy 275,021 $38.91 $10,700,439.51",4814 ,0,,,,"$38.91 $10,700,439.51","$10,700,439.51",$38.91,$38.91,"$10,700,439.51",275004.8705,,Easton Northampton Crossings 3718 Easton-Nazareth Hwy ,Easton Northampton Crossings 3718 Easton-Nazareth Hwy ,
24,Harrisburg Kmart Shopping Ctr 5070 Jonestown Rd ,$38.33,"$10,637,258.76",277517.8388,2210 ,0,,"2210 Harrisburg Kmart Shopping Ctr 5070 Jonestown Rd 277,487 $38.33 $10,637,258.76",2210 ,"2210 Harrisburg Kmart Shopping Ctr 5070 Jonestown Rd 277,487 $38.33 $10,637,258.76",2210 ,0,,,,"$38.33 $10,637,258.76","$10,637,258.76",$38.33,$38.33,"$10,637,258.76",277517.8388,,Harrisburg Kmart Shopping Ctr 5070 Jonestown Rd ,Harrisburg Kmart Shopping Ctr 5070 Jonestown Rd ,
25,Philadelphia Columbus Commons North Shopping Ctr 1940 S Christopher Columbus Blvd ,$41.13,"$10,580,293.38",257240.2961,5104 ,0,,"5104 Philadelphia Columbus Commons North Shopping Ctr 1940 S Christopher Columbus Blvd 257,268 $41.13 $10,580,293.38",5104 ,"5104 Philadelphia Columbus Commons North Shopping Ctr 1940 S Christopher Columbus Blvd 257,268 $41.13 $10,580,293.38",5104 ,0,,,,"$41.13 $10,580,293.38","$10,580,293.38",$41.13,$41.13,"$10,580,293.38",257240.2961,,Philadelphia Columbus Commons North Shopping Ctr 1940 S Christopher Columbus Blvd ,Philadelphia Columbus Commons North Shopping Ctr 1940 S Christopher Columbus Blvd ,
26,Allentown Crest Plz Shopping Ctr 1516 N Cedar Crest Blvd ,$43.10,"$10,271,448.14",238316.6622,3901 ,0,,"3901 Allentown Crest Plz Shopping Ctr 1516 N Cedar Crest Blvd 238,302 $43.10 $10,271,448.14",3901 ,"3901 Allentown Crest Plz Shopping Ctr 1516 N Cedar Crest Blvd 238,302 $43.10 $10,271,448.14",3901 ,0,,,,"$43.10 $10,271,448.14","$10,271,448.14",$43.10,$43.10,"$10,271,448.14",238316.6622,,Allentown Crest Plz Shopping Ctr 1516 N Cedar Crest Blvd ,Allentown Crest Plz Shopping Ctr 1516 N Cedar Crest Blvd ,
27,"Clarks Summit 222 Northern Blvd, ",$47.19,"$10,158,397.96",215265.9029,3516 ,0,,"3516 Clarks Summit 222 Northern Blvd, Ste C 215,284 $47.19 $10,158,397.96",3516 ,"3516 Clarks Summit 222 Northern Blvd, Ste C 215,284 $47.19 $10,158,397.96",3516 ,0,,,,"$47.19 $10,158,397.96","$10,158,397.96",$47.19,$47.19,"$10,158,397.96",215265.9029,,"Clarks Summit 222 Northern Blvd, ","Clarks Summit 222 Northern Blvd, ",
28,Norristown Swede Sq Shopping Ctr 2927 Swede Rd ,$38.78,"$10,131,270.99",261249.8966,4631 ,0,,"4631 Norristown Swede Sq Shopping Ctr 2927 Swede Rd 261,233 $38.78 $10,131,270.99",4631 ,"4631 Norristown Swede Sq Shopping Ctr 2927 Swede Rd 261,233 $38.78 $10,131,270.99",4631 ,0,,,,"$38.78 $10,131,270.99","$10,131,270.99",$38.78,$38.78,"$10,131,270.99",261249.8966,,Norristown Swede Sq Shopping Ctr 2927 Swede Rd ,Norristown Swede Sq Shopping Ctr 2927 Swede Rd ,
29,Lancaster Hawthorne Centre Shopping Ctr 2076 Fruitville Pike ,$36.59,"$10,129,395.97",276835.0907,3614 ,0,,"3614 Lancaster Hawthorne Centre Shopping Ctr 2076 Fruitville Pike 276,819 $36.59 $10,129,395.97",3614 ,"3614 Lancaster Hawthorne Centre Shopping Ctr 2076 Fruitville Pike 276,819 $36.59 $10,129,395.97",3614 ,0,,,,"$36.59 $10,129,395.97","$10,129,395.97",$36.59,$36.59,"$10,129,395.97",276835.0907,,Lancaster Hawthorne Centre Shopping Ctr 2076 Fruitville Pike ,Lancaster Hawthorne Centre Shopping Ctr 2076 Fruitville Pike ,
30,Philadelphia 2040 Market St ,$35.32,"$10,035,023.24",284117.3058,9101 ,0,,"9101 Philadelphia 2040 Market St 284,103 $35.32 $10,035,023.24",9101 ,"9101 Philadelphia 2040 Market St 284,103 $35.32 $10,035,023.24",9101 ,0,,,,"$35.32 $10,035,023.24","$10,035,023.24",$35.32,$35.32,"$10,035,023.24",284117.3058,,Philadelphia 2040 Market St ,Philadelphia 2040 Market St ,
31,Feasterville 855B Pennsylvania Blvd ,"$1,503.71","$9,667,380.30",6429.019093,940 ,1,,"940* Feasterville 855B Pennsylvania Blvd 6,429 $1,503.71 $9,667,380.30",940* ,"940  Feasterville 855B Pennsylvania Blvd 6,429 $1,503.71 $9,667,380.30",940 ,1,,,,"$1,503.71 $9,667,380.30","$9,667,380.30","$1,503.71","$1,503.71","$9,667,380.30",6429.019093,,Feasterville 855B Pennsylvania Blvd ,Feasterville 855B Pennsylvania Blvd ,
32,Lansdale Allen Forge Shopping Ctr 850 S Valley Forge Rd ,$34.74,"$9,618,541.63",276872.2404,4633 ,0,,"4633 Lansdale Allen Forge Shopping Ctr 850 S Valley Forge Rd 276,847 $34.74 $9,618,541.63",4633 ,"4633 Lansdale Allen Forge Shopping Ctr 850 S Valley Forge Rd 276,847 $34.74 $9,618,541.63",4633 ,0,,,,"$34.74 $9,618,541.63","$9,618,541.63",$34.74,$34.74,"$9,618,541.63",276872.2404,,Lansdale Allen Forge Shopping Ctr 850 S Valley Forge Rd ,Lansdale Allen Forge Shopping Ctr 850 S Valley Forge Rd ,
