"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,store_text,text2,Store Number,LicenseeOrFulfillmentCenter,test,test,test,text,text2,AvgVal_text,AvgValueOfTransaction,DollarSales,TransactionCount,,City+Address,City+Address_edit,
277,Edwardsville 26 Gateway Shopping ,$26.80,"$2,769,972.73",103357.1914,4026 ,0,,"4026 Edwardsville 26 Gateway Shopping Ctr, Ste B 103,361 $26.80 $2,769,972.73",4026 ,"4026 Edwardsville 26 Gateway Shopping Ctr, Ste B 103,361 $26.80 $2,769,972.73",4026 ,0,,,,"$26.80 $2,769,972.73","$2,769,972.73",$26.80,$26.80,"$2,769,972.73",103357.1914,,Edwardsville 26 Gateway Shopping ,Edwardsville 26 Gateway Shopping ,
278,Pittsburgh 2800 Robinson Blvd ,$21.04,"$2,767,583.69",131539.1488,280 ,0,,"280 Pittsburgh 2800 Robinson Blvd 131,528 $21.04 $2,767,583.69",280 ,"280 Pittsburgh 2800 Robinson Blvd 131,528 $21.04 $2,767,583.69",280 ,0,,,,"$21.04 $2,767,583.69","$2,767,583.69",$21.04,$21.04,"$2,767,583.69",131539.1488,,Pittsburgh 2800 Robinson Blvd ,Pittsburgh 2800 Robinson Blvd ,
279,Palmyra Palmyra Shopping Ctr 901 E Main ,$27.60,"$2,767,141.08",100258.7348,3803 ,0,,"3803 Palmyra Palmyra Shopping Ctr 901 E Main St, Ste 12 100,257 $27.60 $2,767,141.08",3803 ,"3803 Palmyra Palmyra Shopping Ctr 901 E Main St, Ste 12 100,257 $27.60 $2,767,141.08",3803 ,0,,,,"$27.60 $2,767,141.08","$2,767,141.08",$27.60,$27.60,"$2,767,141.08",100258.7348,,Palmyra Palmyra Shopping Ctr 901 E Main ,Palmyra Palmyra Shopping Ctr 901 E Main ,
280,Sinking Spring Springtown Shopping Ctr 2671 Shillington Rd ,$27.85,"$2,755,276.21",98932.71849,608 ,0,,"608 Sinking Spring Springtown Shopping Ctr 2671 Shillington Rd 98,935 $27.85 $2,755,276.21",608 ,"608 Sinking Spring Springtown Shopping Ctr 2671 Shillington Rd 98,935 $27.85 $2,755,276.21",608 ,0,,,,"$27.85 $2,755,276.21","$2,755,276.21",$27.85,$27.85,"$2,755,276.21",98932.71849,,Sinking Spring Springtown Shopping Ctr 2671 Shillington Rd ,Sinking Spring Springtown Shopping Ctr 2671 Shillington Rd ,
281,Selinsgrove 517 N Market St ,$31.17,"$2,739,926.03",87902.66378,5501 ,0,,"5501 Selinsgrove 517 N Market St 87,904 $31.17 $2,739,926.03",5501 ,"5501 Selinsgrove 517 N Market St 87,904 $31.17 $2,739,926.03",5501 ,0,,,,"$31.17 $2,739,926.03","$2,739,926.03",$31.17,$31.17,"$2,739,926.03",87902.66378,,Selinsgrove 517 N Market St ,Selinsgrove 517 N Market St ,
282,Glenmoore Ludwigs Village Shopping Ctr 2910 Conestoga Rd ,$37.38,"$2,730,147.05",73037.64179,1520 ,0,,"1520 Glenmoore Ludwigs Village Shopping Ctr 2910 Conestoga Rd 73,042 $37.38 $2,730,147.05",1520 ,"1520 Glenmoore Ludwigs Village Shopping Ctr 2910 Conestoga Rd 73,042 $37.38 $2,730,147.05",1520 ,0,,,,"$37.38 $2,730,147.05","$2,730,147.05",$37.38,$37.38,"$2,730,147.05",73037.64179,,Glenmoore Ludwigs Village Shopping Ctr 2910 Conestoga Rd ,Glenmoore Ludwigs Village Shopping Ctr 2910 Conestoga Rd ,
283,Pittsburgh 530-A Caste Village Sc ,$31.59,"$2,728,210.60",86363.10858,288 ,0,,"288 Pittsburgh 530-A Caste Village Sc 86,358 $31.59 $2,728,210.60",288 ,"288 Pittsburgh 530-A Caste Village Sc 86,358 $31.59 $2,728,210.60",288 ,0,,,,"$31.59 $2,728,210.60","$2,728,210.60",$31.59,$31.59,"$2,728,210.60",86363.10858,,Pittsburgh 530-A Caste Village Sc ,Pittsburgh 530-A Caste Village Sc ,
284,Ligonier 613 W Main St ,$43.74,"$2,715,806.16",62089.76132,6507 ,0,,"6507 Ligonier 613 W Main St 62,085 $43.74 $2,715,806.16",6507 ,"6507 Ligonier 613 W Main St 62,085 $43.74 $2,715,806.16",6507 ,0,,,,"$43.74 $2,715,806.16","$2,715,806.16",$43.74,$43.74,"$2,715,806.16",62089.76132,,Ligonier 613 W Main St ,Ligonier 613 W Main St ,
285,Greensburg 6041 Rte ,$28.30,"$2,705,156.35",95588.5636,6525 ,0,,"6525 Greensburg 6041 Rte 30, Ste 55 95,601 $28.30 $2,705,156.35",6525 ,"6525 Greensburg 6041 Rte 30, Ste 55 95,601 $28.30 $2,705,156.35",6525 ,0,,,,"$28.30 $2,705,156.35","$2,705,156.35",$28.30,$28.30,"$2,705,156.35",95588.5636,,Greensburg 6041 Rte ,Greensburg 6041 Rte ,
286,New Castle 2410 Wilmington Rd ,$28.61,"$2,702,412.58",94456.92345,3708 ,0,,"3708 New Castle 2410 Wilmington Rd 94,467 $28.61 $2,702,412.58",3708 ,"3708 New Castle 2410 Wilmington Rd 94,467 $28.61 $2,702,412.58",3708 ,0,,,,"$28.61 $2,702,412.58","$2,702,412.58",$28.61,$28.61,"$2,702,412.58",94456.92345,,New Castle 2410 Wilmington Rd ,New Castle 2410 Wilmington Rd ,
287,Johnstown Geistown Shopping Ctr 2451 Bedford St ,$31.22,"$2,699,672.46",86472.53235,1118 ,0,,"1118 Johnstown Geistown Shopping Ctr 2451 Bedford St 86,485 $31.22 $2,699,672.46",1118 ,"1118 Johnstown Geistown Shopping Ctr 2451 Bedford St 86,485 $31.22 $2,699,672.46",1118 ,0,,,,"$31.22 $2,699,672.46","$2,699,672.46",$31.22,$31.22,"$2,699,672.46",86472.53235,,Johnstown Geistown Shopping Ctr 2451 Bedford St ,Johnstown Geistown Shopping Ctr 2451 Bedford St ,
288,Bethlehem 30 E 4th St ,$28.11,"$2,698,469.01",95996.76307,4813 ,0,,"4813 Bethlehem 30 E 4th St 96,006 $28.11 $2,698,469.01",4813 ,"4813 Bethlehem 30 E 4th St 96,006 $28.11 $2,698,469.01",4813 ,0,,,,"$28.11 $2,698,469.01","$2,698,469.01",$28.11,$28.11,"$2,698,469.01",95996.76307,,Bethlehem 30 E 4th St ,Bethlehem 30 E 4th St ,
289,Northampton 1910 Ctr St ,$26.98,"$2,695,096.43",99892.38065,4805 ,0,,"4805 Northampton 1910 Ctr St 99,877 $26.98 $2,695,096.43",4805 ,"4805 Northampton 1910 Ctr St 99,877 $26.98 $2,695,096.43",4805 ,0,,,,"$26.98 $2,695,096.43","$2,695,096.43",$26.98,$26.98,"$2,695,096.43",99892.38065,,Northampton 1910 Ctr St ,Northampton 1910 Ctr St ,
290,East Rochester Rochester Plz 730 Ohio River Blvd ,$29.18,"$2,694,148.88",92328.61138,404 ,0,,"404 East Rochester Rochester Plz 730 Ohio River Blvd 92,323 $29.18 $2,694,148.88",404 ,"404 East Rochester Rochester Plz 730 Ohio River Blvd 92,323 $29.18 $2,694,148.88",404 ,0,,,,"$29.18 $2,694,148.88","$2,694,148.88",$29.18,$29.18,"$2,694,148.88",92328.61138,,East Rochester Rochester Plz 730 Ohio River Blvd ,East Rochester Rochester Plz 730 Ohio River Blvd ,
291,Holicong Buckingham Green 4950 Old York Rd ,$42.39,"$2,684,015.93",63317.1958,933 ,0,,"933 Holicong Buckingham Green 4950 Old York Rd 63,317 $42.39 $2,684,015.93",933 ,"933 Holicong Buckingham Green 4950 Old York Rd 63,317 $42.39 $2,684,015.93",933 ,0,,,,"$42.39 $2,684,015.93","$2,684,015.93",$42.39,$42.39,"$2,684,015.93",63317.1958,,Holicong Buckingham Green 4950 Old York Rd ,Holicong Buckingham Green 4950 Old York Rd ,
292,Pittsburgh 4104 Butler St ,$31.91,"$2,673,989.05",83797.83924,209 ,0,,"209 Pittsburgh 4104 Butler St 83,790 $31.91 $2,673,989.05",209 ,"209 Pittsburgh 4104 Butler St 83,790 $31.91 $2,673,989.05",209 ,0,,,,"$31.91 $2,673,989.05","$2,673,989.05",$31.91,$31.91,"$2,673,989.05",83797.83924,,Pittsburgh 4104 Butler St ,Pittsburgh 4104 Butler St ,
293,King Of Prussia Valley Forge Shopping Ctr 109 Town Ctr Rd ,$26.66,"$2,658,163.17",99706.04539,4625 ,0,,"4625 King Of Prussia Valley Forge Shopping Ctr 109 Town Ctr Rd 99,707 $26.66 $2,658,163.17",4625 ,"4625 King Of Prussia Valley Forge Shopping Ctr 109 Town Ctr Rd 99,707 $26.66 $2,658,163.17",4625 ,0,,,,"$26.66 $2,658,163.17","$2,658,163.17",$26.66,$26.66,"$2,658,163.17",99706.04539,,King Of Prussia Valley Forge Shopping Ctr 109 Town Ctr Rd ,King Of Prussia Valley Forge Shopping Ctr 109 Town Ctr Rd ,
294,"Bethlehem Bethlehem Sq Sc 3926 Nazareth Pike, ",$26.87,"$2,656,441.49",98862.72758,4810 ,0,,"4810 Bethlehem Bethlehem Sq Sc 3926 Nazareth Pike, Unit 11 98,877 $26.87 $2,656,441.49",4810 ,"4810 Bethlehem Bethlehem Sq Sc 3926 Nazareth Pike, Unit 11 98,877 $26.87 $2,656,441.49",4810 ,0,,,,"$26.87 $2,656,441.49","$2,656,441.49",$26.87,$26.87,"$2,656,441.49",98862.72758,,"Bethlehem Bethlehem Sq Sc 3926 Nazareth Pike, ","Bethlehem Bethlehem Sq Sc 3926 Nazareth Pike, ",
295,Mckees Rocks Kenmawr Plz 510 Pine Hollow Rd ,$27.31,"$2,645,191.69",96857.98938,9206 ,0,,"9206 Mckees Rocks Kenmawr Plz 510 Pine Hollow Rd 96,863 $27.31 $2,645,191.69",9206 ,"9206 Mckees Rocks Kenmawr Plz 510 Pine Hollow Rd 96,863 $27.31 $2,645,191.69",9206 ,0,,,,"$27.31 $2,645,191.69","$2,645,191.69",$27.31,$27.31,"$2,645,191.69",96857.98938,,Mckees Rocks Kenmawr Plz 510 Pine Hollow Rd ,Mckees Rocks Kenmawr Plz 510 Pine Hollow Rd ,
296,Pittsburgh 2947 W Liberty Ave ,$29.22,"$2,640,164.41",90354.7026,218 ,0,,"218 Pittsburgh 2947 W Liberty Ave 90,368 $29.22 $2,640,164.41",218 ,"218 Pittsburgh 2947 W Liberty Ave 90,368 $29.22 $2,640,164.41",218 ,0,,,,"$29.22 $2,640,164.41","$2,640,164.41",$29.22,$29.22,"$2,640,164.41",90354.7026,,Pittsburgh 2947 W Liberty Ave ,Pittsburgh 2947 W Liberty Ave ,
297,Johnstown 1735 Lyter Dr ,$31.50,"$2,638,443.03",83760.09619,1119 ,0,,"1119 Johnstown 1735 Lyter Dr 83,751 $31.50 $2,638,443.03",1119 ,"1119 Johnstown 1735 Lyter Dr 83,751 $31.50 $2,638,443.03",1119 ,0,,,,"$31.50 $2,638,443.03","$2,638,443.03",$31.50,$31.50,"$2,638,443.03",83760.09619,,Johnstown 1735 Lyter Dr ,Johnstown 1735 Lyter Dr ,
298,West Chester The Marketplace Shopping Ctr 1502 W Chester Pike ,$26.38,"$2,636,418.32",99940.04246,1518 ,0,,"1518 West Chester The Marketplace Shopping Ctr 1502 W Chester Pike 99,943 $26.38 $2,636,418.32",1518 ,"1518 West Chester The Marketplace Shopping Ctr 1502 W Chester Pike 99,943 $26.38 $2,636,418.32",1518 ,0,,,,"$26.38 $2,636,418.32","$2,636,418.32",$26.38,$26.38,"$2,636,418.32",99940.04246,,West Chester The Marketplace Shopping Ctr 1502 W Chester Pike ,West Chester The Marketplace Shopping Ctr 1502 W Chester Pike ,
299,Jamison Warwick Sq Shop Ctr 2395 Old York Rd ,$32.43,"$2,623,980.05",80912.11995,935 ,0,,"935 Jamison Warwick Sq Shop Ctr 2395 Old York Rd 80,922 $32.43 $2,623,980.05",935 ,"935 Jamison Warwick Sq Shop Ctr 2395 Old York Rd 80,922 $32.43 $2,623,980.05",935 ,0,,,,"$32.43 $2,623,980.05","$2,623,980.05",$32.43,$32.43,"$2,623,980.05",80912.11995,,Jamison Warwick Sq Shop Ctr 2395 Old York Rd ,Jamison Warwick Sq Shop Ctr 2395 Old York Rd ,
300,"Downingtown Brandywine Village Shopping Ctr 1239 Horseshoe Pike, ",$29.03,"$2,616,270.65",90122.99862,1521 ,0,,"1521 Downingtown Brandywine Village Shopping Ctr 1239 Horseshoe Pike, Rt 322 90,129 $29.03 $2,616,270.65",1521 ,"1521 Downingtown Brandywine Village Shopping Ctr 1239 Horseshoe Pike, Rt 322 90,129 $29.03 $2,616,270.65",1521 ,0,,,,"$29.03 $2,616,270.65","$2,616,270.65",$29.03,$29.03,"$2,616,270.65",90122.99862,,"Downingtown Brandywine Village Shopping Ctr 1239 Horseshoe Pike, ","Downingtown Brandywine Village Shopping Ctr 1239 Horseshoe Pike, ",
301,Peckville Plz 1500 1531 Main St ,$29.46,"$2,615,288.19",88774.20876,3510 ,0,,"3510 Peckville Plz 1500 1531 Main St 88,772 $29.46 $2,615,288.19",3510 ,"3510 Peckville Plz 1500 1531 Main St 88,772 $29.46 $2,615,288.19",3510 ,0,,,,"$29.46 $2,615,288.19","$2,615,288.19",$29.46,$29.46,"$2,615,288.19",88774.20876,,Peckville Plz 1500 1531 Main St ,Peckville Plz 1500 1531 Main St ,
302,Philadelphia 5235 Frankford Ave ,$14.69,"$2,604,802.83",177318.096,5145 ,0,,"5145 Philadelphia 5235 Frankford Ave 177,333 $14.69 $2,604,802.83",5145 ,"5145 Philadelphia 5235 Frankford Ave 177,333 $14.69 $2,604,802.83",5145 ,0,,,,"$14.69 $2,604,802.83","$2,604,802.83",$14.69,$14.69,"$2,604,802.83",177318.096,,Philadelphia 5235 Frankford Ave ,Philadelphia 5235 Frankford Ave ,
303,Denver Muddy Creek Shoppes 2350 N Reading ,$32.30,"$2,571,651.81",79617.7031,3610 ,0,,"3610 Denver Muddy Creek Shoppes 2350 N Reading Rd, St 11 79,626 $32.30 $2,571,651.81",3610 ,"3610 Denver Muddy Creek Shoppes 2350 N Reading Rd, St 11 79,626 $32.30 $2,571,651.81",3610 ,0,,,,"$32.30 $2,571,651.81","$2,571,651.81",$32.30,$32.30,"$2,571,651.81",79617.7031,,Denver Muddy Creek Shoppes 2350 N Reading ,Denver Muddy Creek Shoppes 2350 N Reading ,
304,Middletown Midtown Plz 430 E Main St ,$25.30,"$2,567,473.49",101481.1656,2206 ,0,,"2206 Middletown Midtown Plz 430 E Main St 101,473 $25.30 $2,567,473.49",2206 ,"2206 Middletown Midtown Plz 430 E Main St 101,473 $25.30 $2,567,473.49",2206 ,0,,,,"$25.30 $2,567,473.49","$2,567,473.49",$25.30,$25.30,"$2,567,473.49",101481.1656,,Middletown Midtown Plz 430 E Main St ,Middletown Midtown Plz 430 E Main St ,
305,Harrisburg Swatara Sq 6301 Grayson ,$25.60,"$2,564,604.08",100179.8469,2217 ,0,,"2217 Harrisburg Swatara Sq 6301 Grayson Rd, Ste A118 100,172 $25.60 $2,564,604.08",2217 ,"2217 Harrisburg Swatara Sq 6301 Grayson Rd, Ste A118 100,172 $25.60 $2,564,604.08",2217 ,0,,,,"$25.60 $2,564,604.08","$2,564,604.08",$25.60,$25.60,"$2,564,604.08",100179.8469,,Harrisburg Swatara Sq 6301 Grayson ,Harrisburg Swatara Sq 6301 Grayson ,
306,Canonsburg 43 E Pike St ,$28.67,"$2,563,605.72",89417.7091,6302 ,0,,"6302 Canonsburg 43 E Pike St 89,413 $28.67 $2,563,605.72",6302 ,"6302 Canonsburg 43 E Pike St 89,413 $28.67 $2,563,605.72",6302 ,0,,,,"$28.67 $2,563,605.72","$2,563,605.72",$28.67,$28.67,"$2,563,605.72",89417.7091,,Canonsburg 43 E Pike St ,Canonsburg 43 E Pike St ,
307,Allison Park Hampton Plz 4706 William Flynn ,$32.70,"$2,563,490.76",78394.21284,285 ,0,,"285 Allison Park Hampton Plz 4706 William Flynn Hwy, Ste 8 78,396 $32.70 $2,563,490.76",285 ,"285 Allison Park Hampton Plz 4706 William Flynn Hwy, Ste 8 78,396 $32.70 $2,563,490.76",285 ,0,,,,"$32.70 $2,563,490.76","$2,563,490.76",$32.70,$32.70,"$2,563,490.76",78394.21284,,Allison Park Hampton Plz 4706 William Flynn ,Allison Park Hampton Plz 4706 William Flynn ,
308,Exton Marchwood Shopping Ctr 23 Marchwood Rd ,$30.41,"$2,552,342.54",83931.02729,1515 ,0,,"1515 Exton Marchwood Shopping Ctr 23 Marchwood Rd 83,923 $30.41 $2,552,342.54",1515 ,"1515 Exton Marchwood Shopping Ctr 23 Marchwood Rd 83,923 $30.41 $2,552,342.54",1515 ,0,,,,"$30.41 $2,552,342.54","$2,552,342.54",$30.41,$30.41,"$2,552,342.54",83931.02729,,Exton Marchwood Shopping Ctr 23 Marchwood Rd ,Exton Marchwood Shopping Ctr 23 Marchwood Rd ,
309,Childs 529 Main St ,$31.81,"$2,548,483.95",80115.81107,3504 ,0,,"3504 Childs 529 Main St 80,104 $31.81 $2,548,483.95",3504 ,"3504 Childs 529 Main St 80,104 $31.81 $2,548,483.95",3504 ,0,,,,"$31.81 $2,548,483.95","$2,548,483.95",$31.81,$31.81,"$2,548,483.95",80115.81107,,Childs 529 Main St ,Childs 529 Main St ,
310,Bristol Bristol Park 238 Commerce Cir ,$23.18,"$2,545,295.12",109805.6566,916 ,0,,"916 Bristol Bristol Park 238 Commerce Cir 109,793 $23.18 $2,545,295.12",916 ,"916 Bristol Bristol Park 238 Commerce Cir 109,793 $23.18 $2,545,295.12",916 ,0,,,,"$23.18 $2,545,295.12","$2,545,295.12",$23.18,$23.18,"$2,545,295.12",109805.6566,,Bristol Bristol Park 238 Commerce Cir ,Bristol Bristol Park 238 Commerce Cir ,
311,Harrisburg Kline Village Shopping Ctr 29 Kline Village ,$21.08,"$2,537,739.04",120386.1025,2201 ,0,,"2201 Harrisburg Kline Village Shopping Ctr 29 Kline Village 120,399 $21.08 $2,537,739.04",2201 ,"2201 Harrisburg Kline Village Shopping Ctr 29 Kline Village 120,399 $21.08 $2,537,739.04",2201 ,0,,,,"$21.08 $2,537,739.04","$2,537,739.04",$21.08,$21.08,"$2,537,739.04",120386.1025,,Harrisburg Kline Village Shopping Ctr 29 Kline Village ,Harrisburg Kline Village Shopping Ctr 29 Kline Village ,
312,Brookhaven 4117 Edgmont Ave ,$22.12,"$2,528,710.44",114317.8318,2309 ,0,,"2309 Brookhaven 4117 Edgmont Ave 114,324 $22.12 $2,528,710.44",2309 ,"2309 Brookhaven 4117 Edgmont Ave 114,324 $22.12 $2,528,710.44",2309 ,0,,,,"$22.12 $2,528,710.44","$2,528,710.44",$22.12,$22.12,"$2,528,710.44",114317.8318,,Brookhaven 4117 Edgmont Ave ,Brookhaven 4117 Edgmont Ave ,
313,Tunkhannock 2 Village Ctr ,$30.51,"$2,528,575.44",82876.94002,6601 ,0,,"6601 Tunkhannock 2 Village Ctr 82,867 $30.51 $2,528,575.44",6601 ,"6601 Tunkhannock 2 Village Ctr 82,867 $30.51 $2,528,575.44",6601 ,0,,,,"$30.51 $2,528,575.44","$2,528,575.44",$30.51,$30.51,"$2,528,575.44",82876.94002,,Tunkhannock 2 Village Ctr ,Tunkhannock 2 Village Ctr ,
314,Philadelphia 2807 S Front St ,$29.40,"$2,520,412.25",85728.30782,5189 ,0,,"5189 Philadelphia 2807 S Front St 85,720 $29.40 $2,520,412.25",5189 ,"5189 Philadelphia 2807 S Front St 85,720 $29.40 $2,520,412.25",5189 ,0,,,,"$29.40 $2,520,412.25","$2,520,412.25",$29.40,$29.40,"$2,520,412.25",85728.30782,,Philadelphia 2807 S Front St ,Philadelphia 2807 S Front St ,
315,Erie 737 E 38th St ,$25.55,"$2,514,303.47",98407.18082,2511 ,0,,"2511 Erie 737 E 38th St 98,398 $25.55 $2,514,303.47",2511 ,"2511 Erie 737 E 38th St 98,398 $25.55 $2,514,303.47",2511 ,0,,,,"$25.55 $2,514,303.47","$2,514,303.47",$25.55,$25.55,"$2,514,303.47",98407.18082,,Erie 737 E 38th St ,Erie 737 E 38th St ,
316,New Cumberland Fairview Ctr 128 Old York Rd ,$26.15,"$2,513,614.99",96122.94417,6708 ,0,,"6708 New Cumberland Fairview Ctr 128 Old York Rd 96,137 $26.15 $2,513,614.99",6708 ,"6708 New Cumberland Fairview Ctr 128 Old York Rd 96,137 $26.15 $2,513,614.99",6708 ,0,,,,"$26.15 $2,513,614.99","$2,513,614.99",$26.15,$26.15,"$2,513,614.99",96122.94417,,New Cumberland Fairview Ctr 128 Old York Rd ,New Cumberland Fairview Ctr 128 Old York Rd ,
317,Pittsburgh Shaler ,$29.43,"$2,509,825.92",85281.20693,264 ,0,,"264 Pittsburgh Shaler Plz, Ste 7 880 Butler St 85,283 $29.43 $2,509,825.92",264 ,"264 Pittsburgh Shaler Plz, Ste 7 880 Butler St 85,283 $29.43 $2,509,825.92",264 ,0,,,,"$29.43 $2,509,825.92","$2,509,825.92",$29.43,$29.43,"$2,509,825.92",85281.20693,,Pittsburgh Shaler ,Pittsburgh Shaler ,
318,Pittsburgh 2356 Golden Mile Hwy ,$26.96,"$2,507,404.93",93004.6339,9213 ,0,,"9213 Pittsburgh 2356 Golden Mile Hwy 93,004 $26.96 $2,507,404.93",9213 ,"9213 Pittsburgh 2356 Golden Mile Hwy 93,004 $26.96 $2,507,404.93",9213 ,0,,,,"$26.96 $2,507,404.93","$2,507,404.93",$26.96,$26.96,"$2,507,404.93",93004.6339,,Pittsburgh 2356 Golden Mile Hwy ,Pittsburgh 2356 Golden Mile Hwy ,
319,Berwick 35 Briar Creek Rd ,$30.01,"$2,502,514.74",83389.36155,1901 ,0,,"1901 Berwick 35 Briar Creek Rd 83,379 $30.01 $2,502,514.74",1901 ,"1901 Berwick 35 Briar Creek Rd 83,379 $30.01 $2,502,514.74",1901 ,0,,,,"$30.01 $2,502,514.74","$2,502,514.74",$30.01,$30.01,"$2,502,514.74",83389.36155,,Berwick 35 Briar Creek Rd ,Berwick 35 Briar Creek Rd ,
320,"Mountaintop Weis Markets Sc 223 South Mountain Blvd, ",$31.05,"$2,497,235.27",80426.25668,4035 ,0,,"4035 Mountaintop Weis Markets Sc 223 South Mountain Blvd, Ste 2 80,420 $31.05 $2,497,235.27",4035 ,"4035 Mountaintop Weis Markets Sc 223 South Mountain Blvd, Ste 2 80,420 $31.05 $2,497,235.27",4035 ,0,,,,"$31.05 $2,497,235.27","$2,497,235.27",$31.05,$31.05,"$2,497,235.27",80426.25668,,"Mountaintop Weis Markets Sc 223 South Mountain Blvd, ","Mountaintop Weis Markets Sc 223 South Mountain Blvd, ",
321,Uniontown 111 W Fayette St ,$32.05,"$2,486,502.68",77581.9869,2601 ,0,,"2601 Uniontown 111 W Fayette St 77,585 $32.05 $2,486,502.68",2601 ,"2601 Uniontown 111 W Fayette St 77,585 $32.05 $2,486,502.68",2601 ,0,,,,"$32.05 $2,486,502.68","$2,486,502.68",$32.05,$32.05,"$2,486,502.68",77581.9869,,Uniontown 111 W Fayette St ,Uniontown 111 W Fayette St ,
322,Edinboro Washington Towne Ctr 140 Washington Towne Blvd ,$28.89,"$2,481,257.31",85886.37279,2518 ,0,,"2518 Edinboro Washington Towne Ctr 140 Washington Towne Blvd 85,890 $28.89 $2,481,257.31",2518 ,"2518 Edinboro Washington Towne Ctr 140 Washington Towne Blvd 85,890 $28.89 $2,481,257.31",2518 ,0,,,,"$28.89 $2,481,257.31","$2,481,257.31",$28.89,$28.89,"$2,481,257.31",85886.37279,,Edinboro Washington Towne Ctr 140 Washington Towne Blvd ,Edinboro Washington Towne Ctr 140 Washington Towne Blvd ,
323,Yardley Yardley Shopping Ctr 25 S Main St ,$37.99,"$2,465,035.52",64886.43117,921 ,0,,"921 Yardley Yardley Shopping Ctr 25 S Main St 64,888 $37.99 $2,465,035.52",921 ,"921 Yardley Yardley Shopping Ctr 25 S Main St 64,888 $37.99 $2,465,035.52",921 ,0,,,,"$37.99 $2,465,035.52","$2,465,035.52",$37.99,$37.99,"$2,465,035.52",64886.43117,,Yardley Yardley Shopping Ctr 25 S Main St ,Yardley Yardley Shopping Ctr 25 S Main St ,
324,White Oak Oak Park Mall 2001 Lincoln Way ,$26.80,"$2,446,761.22",91297.06045,282 ,0,,"282 White Oak Oak Park Mall 2001 Lincoln Way 91,285 $26.80 $2,446,761.22",282 ,"282 White Oak Oak Park Mall 2001 Lincoln Way 91,285 $26.80 $2,446,761.22",282 ,0,,,,"$26.80 $2,446,761.22","$2,446,761.22",$26.80,$26.80,"$2,446,761.22",91297.06045,,White Oak Oak Park Mall 2001 Lincoln Way ,White Oak Oak Park Mall 2001 Lincoln Way ,
325,Lancaster 252 N Queen ,$19.15,"$2,440,790.17",127456.4057,3602 ,0,,"3602 Lancaster 252 N Queen St, 1st Fl 127,441 $19.15 $2,440,790.17",3602 ,"3602 Lancaster 252 N Queen St, 1st Fl 127,441 $19.15 $2,440,790.17",3602 ,0,,,,"$19.15 $2,440,790.17","$2,440,790.17",$19.15,$19.15,"$2,440,790.17",127456.4057,,Lancaster 252 N Queen ,Lancaster 252 N Queen ,
326,Philadelphia 3250 N Broad St ,$17.62,"$2,440,384.89",138500.8451,5108 ,0,,"5108 Philadelphia 3250 N Broad St 138,519 $17.62 $2,440,384.89",5108 ,"5108 Philadelphia 3250 N Broad St 138,519 $17.62 $2,440,384.89",5108 ,0,,,,"$17.62 $2,440,384.89","$2,440,384.89",$17.62,$17.62,"$2,440,384.89",138500.8451,,Philadelphia 3250 N Broad St ,Philadelphia 3250 N Broad St ,
327,Philadelphia 3521 Cottman Ave ,$21.97,"$2,436,562.56",110904.0765,5180 ,0,,"5180 Philadelphia 3521 Cottman Ave 110,905 $21.97 $2,436,562.56",5180 ,"5180 Philadelphia 3521 Cottman Ave 110,905 $21.97 $2,436,562.56",5180 ,0,,,,"$21.97 $2,436,562.56","$2,436,562.56",$21.97,$21.97,"$2,436,562.56",110904.0765,,Philadelphia 3521 Cottman Ave ,Philadelphia 3521 Cottman Ave ,
328,Harmony 9 Northgate ,$28.03,"$2,435,936.67",86904.62611,1002 ,0,,"1002 Harmony 9 Northgate Plz, Unit 5 86,911 $28.03 $2,435,936.67",1002 ,"1002 Harmony 9 Northgate Plz, Unit 5 86,911 $28.03 $2,435,936.67",1002 ,0,,,,"$28.03 $2,435,936.67","$2,435,936.67",$28.03,$28.03,"$2,435,936.67",86904.62611,,Harmony 9 Northgate ,Harmony 9 Northgate ,
329,Sunbury Sunbury Plz 1135 N. 4th St ,$30.22,"$2,421,987.39",80145.18167,4903 ,0,,"4903 Sunbury Sunbury Plz 1135 N. 4th St 80,144 $30.22 $2,421,987.39",4903 ,"4903 Sunbury Sunbury Plz 1135 N. 4th St 80,144 $30.22 $2,421,987.39",4903 ,0,,,,"$30.22 $2,421,987.39","$2,421,987.39",$30.22,$30.22,"$2,421,987.39",80145.18167,,Sunbury Sunbury Plz 1135 N. 4th St ,Sunbury Sunbury Plz 1135 N. 4th St ,
330,Hanover Grandview Plz Complex 1446 Baltimore ,$28.69,"$2,419,281.45",84324.90241,6703 ,0,,"6703 Hanover Grandview Plz Complex 1446 Baltimore St, Unit G 84,335 $28.69 $2,419,281.45",6703 ,"6703 Hanover Grandview Plz Complex 1446 Baltimore St, Unit G 84,335 $28.69 $2,419,281.45",6703 ,0,,,,"$28.69 $2,419,281.45","$2,419,281.45",$28.69,$28.69,"$2,419,281.45",84324.90241,,Hanover Grandview Plz Complex 1446 Baltimore ,Hanover Grandview Plz Complex 1446 Baltimore ,
